year_month,responses
2008-07,1671754.205882353
2008-08,1722785.4838709678
2008-09,1577830.3666666667
2008-10,1683059.6129032257
2008-11,1635374.3
2008-12,1591995.1612903227
2009-01,1688872.6451612904
2009-02,1692997.2857142857
2009-03,1532723.7096774194
2009-04,1654293.1666666667
2009-05,1603982.1935483871
2009-06,1597522.4333333333
2009-07,1711826.3870967743
2009-08,1826787.322580645
2009-09,1854079.8666666667
2009-10,1715626.5483870967
2009-11,1373691.0333333334
2009-12,1528071.6129032257
2010-01,1160989.322580645
2010-02,1322173.6785714286
2010-03,1523177.1666666667
2010-04,1230849.1666666667
2010-05,1213709.2903225806
2010-06,1530449.5666666667
2010-07,1282522.4838709678
2010-08,1143265.4516129033
2010-09,1331322.0714285714
2010-10,1722444.0322580645
2010-11,1627650.3666666667
2010-12,1384904.3870967743
2011-01,1409199.8064516129
2011-02,1761575.25
2011-03,2188579.3225806453
2011-04,2098072.933333333
2011-05,2104614.0
2011-06,2056992.4
2011-07,2293455.0967741935
2011-08,2268231.709677419
2011-09,2347602.966666667
2011-10,2310539.9032258065
2011-11,2259193.2666666666
2011-12,2179251.2258064514
2012-01,2123465.9677419355
2012-02,2022567.0689655172
2012-03,2061554.677419355
2012-04,1884734.8333333333
2012-05,2101671.8387096776
2012-06,2017817.0666666667
2012-07,2151631.8387096776
2012-08,2185409.5483870967
2012-09,1956315.6666666667
2012-10,1902181.7741935484
2012-11,1766027.4333333333
2012-12,1785596.0322580645
2013-01,1770204.7096774194
2013-02,1813763.857142857
2013-03,1881406.5161290322
2013-04,1595411.1
2013-05,1245089.6129032257
2013-06,1544331.8
2013-07,1369644.2258064516
2013-08,1548083.8064516129
2013-09,2269029.1333333333
2013-10,2252341.5483870967
2013-11,2149344.8666666667
2013-12,1655860.7741935484
2014-01,1719597.5483870967
2014-02,1878833.9642857143
2014-03,1908307.677419355
2014-04,1824813.5666666667
2014-05,1903606.96875
2014-06,2030057.9666666666
2014-07,1910100.6129032257
2014-08,1662899.5161290322
2014-09,2139798.1
2014-10,2099538.935483871
2014-11,2015377.2666666666
2014-12,1271269.1935483871
2015-01,1608793.7419354839
2015-02,1976283.5
2015-03,1839774.75
2015-04,1838099.8333333333
2015-05,1961196.9032258065
2015-06,2005698.2666666666
2015-07,2048682.0322580645
2015-08,2093256.0967741935
2015-09,2022626.4333333333
2015-10,1930451.9677419355
2015-11,1988994.2
2015-12,1869101.935483871
2016-01,2007013.8064516129
2016-02,1971598.4827586208
2016-03,2026916.7419354839
2016-04,2153822.2666666666
2016-05,2149290.709677419
2016-06,2131391.7
2016-07,2121785.0
2016-08,2129095.419354839
2016-09,2079026.7333333334
2016-10,2050532.9032258065
2016-11,1943843.7666666666
2016-12,1928928.5483870967
2017-01,1998188.2903225806
2017-02,2000862.857142857
2017-03,2068793.4838709678
2017-04,1981841.2666666666
2017-05,1994531.2903225806
2017-06,2040529.8666666667
2017-07,2025608.677419355
2017-08,2002655.5806451612
2017-09,1971855.2
2017-10,1928402.1935483871
2017-11,1877668.5333333334
2017-12,1807197.8387096773
2018-01,1866208.4193548388
2018-02,1910553.142857143
2018-03,1865299.5333333334
2018-04,1946912.7
2018-05,1951260.7741935484
2018-06,1963404.4
2018-07,1969678.2580645161
2018-08,1979156.6129032257
2018-09,1994439.0666666667
2018-10,1875454.6451612904
2018-11,1839405.0333333334
2018-12,1749329.9032258065
2019-01,1829906.0322580645
2019-02,1839195.3214285714
2019-03,1872878.4516129033
2019-04,1895854.9
2019-05,1991105.1612903227
2019-06,2015045.0333333334
2019-07,2049060.0
2019-08,2031963.3548387096
2019-09,1954612.8
2019-10,1935289.9032258065
2019-11,1839062.6666666667
2019-12,1793493.8709677418
2020-01,1850122.4838709678
2020-02,1987651.3103448276
2020-03,2088123.6451612904
2020-04,2140418.6666666665
2020-05,1996765.5806451612
2020-06,1858622.1333333333
2020-07,1948545.1612903227
2020-08,1989676.1935483871
2020-09,1949510.8666666667
2020-10,1892808.6129032257
2020-11,1882127.2
2020-12,1789047.8064516129
2021-01,1857730.6451612904
2021-02,1765783.75
2021-03,1752891.935483871
2021-04,1822540.2333333334
2021-05,1889112.4838709678
2021-06,1807071.3
2021-07,1908408.8387096773
2021-08,1952070.7741935484
2021-09,1781747.0322580645
2021-10,1742761.9677419355
2021-11,1620095.3333333333
2021-12,1555543.7741935484
2022-01,1610200.1290322582
2022-02,1708034.392857143
2022-03,1644726.7096774194
2022-04,1624606.0333333334
2022-05,1659598.3548387096
2022-06,1619776.3333333333
2022-07,1678805.064516129
2022-08,1538387.9032258065
2022-09,1537800.0333333334
2022-10,1470837.9677419355
2022-11,1415313.0333333334
2022-12,1391457.5806451612
2023-01,1434634.7741935484
2023-02,1363658.0357142857
2023-03,1425371.1612903227
2023-04,1292555.6666666667
2023-05,1307661.4516129033
2023-06,1237900.1666666667
2023-07,1175560.1612903227
2023-08,1384880.3870967743
2023-09,1321747.9666666666
2023-10,1027800.7741935484
2023-11,1082686.7
2023-12,1110081.935483871
2024-01,1178506.935483871
2024-02,1151578.9310344828
2024-03,1182548.9375
2024-04,1041187.9333333333
2024-05,930247.1290322581
2024-06,956860.7666666667
2024-07,1041478.3461538461
